"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 07 00:32:39 MSK 2026","Sun Jun 07 00:32:39 MSK 2026","251","","Тесты ручки 'Логин курьера'","","LoginCourier","loginNonExistentCourierError","Ошибка авторизации c несуществующим курьером",""
"passed","Sun Jun 07 00:32:40 MSK 2026","Sun Jun 07 00:32:40 MSK 2026","67","","Тесты ручки 'Создать заказ'","","CreateOrder","createOrderWithVaryingColors","Создание заказа с различными комбинациями цветов Тест создания заказа с набором цветов: [BLACK, GREY]",""
"passed","Sun Jun 07 00:32:40 MSK 2026","Sun Jun 07 00:32:40 MSK 2026","70","","Тесты ручки 'Создать курьера'","","CreateCourier","createCourierWithoutPasswordReturnsError","Ошибка создания курьера без пароля",""
"passed","Sun Jun 07 00:32:40 MSK 2026","Sun Jun 07 00:32:40 MSK 2026","79","","Тесты ручки 'Создать заказ'","","CreateOrder","createOrderWithVaryingColors","Создание заказа с различными комбинациями цветов Тест создания заказа с набором цветов: [GREY]",""
"passed","Sun Jun 07 00:32:40 MSK 2026","Sun Jun 07 00:32:40 MSK 2026","97","","Тесты ручки 'Создать заказ'","","CreateOrder","createOrderWithVaryingColors","Создание заказа с различными комбинациями цветов Тест создания заказа с набором цветов: [BLACK]",""
"passed","Sun Jun 07 00:32:39 MSK 2026","Sun Jun 07 00:32:40 MSK 2026","271","","Тесты ручки 'Логин курьера'","","LoginCourier","loginWithWrongPasswordError","Ошибка авторизации с неверным паролем",""
"passed","Sun Jun 07 00:32:35 MSK 2026","Sun Jun 07 00:32:39 MSK 2026","3226","","Тесты ручки 'Логин курьера'","","LoginCourier","courierCanLoginSuccessfully","Успешная авторизация курьера со всеми обязательными полями",""
"passed","Sun Jun 07 00:32:40 MSK 2026","Sun Jun 07 00:32:40 MSK 2026","238","","Тесты ручки 'Логин курьера'","","LoginCourier","loginWithoutLoginFieldError","Ошибка авторизации без логина",""
"passed","Sun Jun 07 00:32:40 MSK 2026","Sun Jun 07 00:32:41 MSK 2026","73","","Тесты ручки 'Создать курьера'","","CreateCourier","createCourierWithoutLoginReturnsError","Ошибка создания курьера без логина",""
"passed","Sun Jun 07 00:32:41 MSK 2026","Sun Jun 07 00:32:41 MSK 2026","203","","Тесты ручки 'Создать курьера'","","CreateCourier","courierCanBeCreated","Успешное создание курьера со всеми обязательными полями",""
"passed","Sun Jun 07 00:32:41 MSK 2026","Sun Jun 07 00:32:41 MSK 2026","302","","Тесты ручки 'Создать курьера'","","CreateCourier","cannotCreateDuplicateCouriers","Нельзя создать двух одинаковых курьеров",""
"passed","Sun Jun 07 00:32:40 MSK 2026","Sun Jun 07 00:32:40 MSK 2026","67","","Тесты ручки 'Создать заказ'","","CreateOrder","createOrderWithVaryingColors","Создание заказа с различными комбинациями цветов Тест создания заказа с набором цветов: []",""
"passed","Sun Jun 07 00:32:39 MSK 2026","Sun Jun 07 00:32:39 MSK 2026","262","","Тесты ручки 'Логин курьера'","","LoginCourier","loginWithoutPasswordFieldError","Ошибка авторизации без логина",""
"passed","Sun Jun 07 00:32:40 MSK 2026","Sun Jun 07 00:32:40 MSK 2026","187","","Тесты ручки 'Получить список заказов'","","GetOrderList","getOrderListReturnsFilledArray","Запрос списка возвращает тело, содержащее массив заказов",""
